UF,CIDADE / MUNICÍPIO,BAIRRO,RUA,CEP,CANAL,NOME FANTASIA,CLASSIFICAÇÃO,SEGUNDA A SEXTA,SÁBADOS,DOMINGOS E FERIADOS,Latitude,Longitude,Endereço Completo,Tipo Consulta,Precisão,Erro
MT,BOM JESUS DO ARAGUAIA,CENTRO,RUA MANOEL GARÇÊS S/N,78678000,POSTO DE ATENDIMENTO,DROGARIA NEVES,EAM,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-12.2165728212018,-51.7400294476732,"BOM JESUS DO ARAGUAIA,  - MT",LOCALIDADE/MUNICÍPIO,MUNICÍPIO,
MG,BOM JESUS DO GALHO,CENTRO,RUA ANTONIO VAZ SOBRINHO 11,35340970,CORREIOS,AC BOM JESUS DO GALHO,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-19.8275431493088,-42.3165848913779,"Rua Antonio Vaz Sobrinho 11, Centro - Bom Jesus Do Galho, MG",LOGRADOURO,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
RJ,BOM JESUS DO ITABAPOANA,CENTRO,AVENIDA GOVERNADOR ROBERTO SILVEIRA 136,28360970,CORREIOS,AC BOM JESUS DO ITABAPOANA,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-21.1365392139193,-41.675807658818,"Avenida Governador Roberto Silveira 136 - Bom Jesus Do Itabapoana, RJ",LOGRADOURO,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
RJ,BOM JESUS DO ITABAPOANA,JOSE LIMA,"AVENIDA JOSE DE OLIVEIRA BORGES, 475",28360000,FRANQUIAS,3 F TELEFONIA E INFORMATICA LTDA,SAP,09:00 às 19:00,09:00  às  19:00,NÃO FUNCIONA,-21.1329223841988,-41.6735724985081,"Avenida Jose Oliveira Borges 475 - Bom Jesus Do Itabapoana, RJ",LOGRADOURO,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
ES,BOM JESUS DO NORTE,CENTRO,"PRAÇA  ASTOFHO LOBO, 259",29460970,CORREIOS,AC BOM JESUS DO NORTE,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-21.1316521829023,-41.6766013517956,"Praca Astolfo Lobo 259, Centro - BOM JESUS DO NORTE, ES",LOGRADOURO,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
SC,BOM JESUS DO OESTE,CENTRO,"RUA LASALLE, 401",89873000,POSTO DE ATENDIMENTO,COMERCIAL AMBRÓSIO,EAM,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-26.6909644999721,-53.094963500233,"Rua La Salle, Centro - Bom Jesus Do Oeste, SC",CEP,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
PR,BOM JESUS DO SUL,CENTRO,"AV IPIRANGA, 124",85708000,POSTO DE ATENDIMENTO,MERCADO DA ROSA,EAM,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-26.1915033203352,-53.6018696464844,"Avenida Ipiranga 124, Centro - Bom Jesus Do Sul, PR",LOGRADOURO,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
PA,BOM JESUS DO TOCANTINS,CENTRO,"AV. JARBAS PASSARINHO, 619",68525970,CORREIOS,AC BOM JESUS DO TOCANTINS,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-5.04313946316178,-48.5934676934119,"Avenida Jarbas Passarinho 619, Centro - Bom Jesus Do Tocantins, PA",LOGRADOURO,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
TO,BOM JESUS DO TOCANTINS,CENTRO,"AV TOCANTINS, 12",77714000,POSTO DE ATENDIMENTO,SUPERMERCADO VALENTIM LTDA,EAM,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-8.9647966088534,-48.1657395104565,"Avenida Tocantins 12, Sao Central - Bom Jesus Do Tocantins, TO",LOGRADOURO,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
MA,BOM LUGAR,CENTRO,"RUA MANOEL SEVERO, S/N",65704970,CORREIOS,AC BOM LUGAR,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-4.37305294947327,-45.0301934764077,"Rua Manuel Severo , Centro - BOM LUGAR, MA",LOGRADOURO,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
RS,BOM PRINCIPIO,CENTRO,RUA VINTE E CINCO DE JULHO. 235,95765970,CORREIOS,AC BOM PRINCIPIO,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-29.4887010454354,-51.3547998094533,"Rua 25 De Julho 235, Centro - Bom Principio, RS",LOGRADOURO,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
RS,BOM PROGRESSO,CENTRO,"AV CASTELO BRANCO, 1252",98575000,POSTO DE ATENDIMENTO,QK VARIEDADES,EAM,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-27.5532505755263,-53.8646374009433,"Rua Castelo Branco 1252, Centro - Bom Progresso, RS",LOGRADOURO,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
MG,BOM REPOUSO,CENTRO,RUA PROFESSORA ELMIRA SILVA CAPORALI 115,37610970,CORREIOS,AC BOM REPOUSO,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-22.468541097627,-46.1500047795409,"Rua Professora Elmira Silva P Caporali 115, Centro - Bom Repouso, MG",LOGRADOURO,NÚMERO DE PORTA,
SC,BOM RETIRO,CENTRO,"RUA MAJOR GENEROSO, 182",88680970,CORREIOS,AC BOM RETIRO,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-27.8177065028448,-49.4901522036795,"Avenida Maj Generoso 182, Centro - Bom Retiro, SC",LOGRADOURO,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
RS,BOM RETIRO DO SUL,CENTRO,"RUA SENADOR PINHEIRO MACHADO, 195",95870970,CORREIOS,AC BOM RETIRO DO SUL,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-29.6065915409307,-51.9429876395225,"Rua Sen Pinheiro Machado 195, Centro - Bom Retiro Do Sul, RS",LOGRADOURO,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
